ID,Proyek,Skill,Budget,Durasi ( hari),Deskripsi,,,,,,,,,,,,,,,,,,,,
348,Mixing & Mastering Recording Lagu,Audio Editing,"Rp 250,000 - 400,000",4,"Dear WorkerSaya ijin open project untuk mixing mastering lagu. Saya ada dua rekaman lagu yang direkam amatir. Masing-masing lagu berisi 5-6 track. 1 Instrumen dan 4-5 vokal track, dmn 1 track vocal merupakan rekaman 2-3 suara karena ini lagu vocal group.Saya akan kirimkan file track dalam WAV yang masih rawSaya membutuhkan hasilnya kalau bisa besok 24 mei sudah bisa saya dapatkan. Hasil berupa file mp3 dan WAV.Karena ini hanya project sekolahan, budget saya terbatas. Mohon dimaklumi. Terima kasih",,,,,,,,,,,,,,,,,,,,
349,TIKTOK CONTENT CREATOR,Video Editing,"Rp 500,000 - 1,000,000",10,"Dicari Konten Creator untuk brand parfum pria dengan jumlah 30 video1. Sudah sering buat konten & fyp, sertakan portofolio akun tiktok yg pernah dibuat2. Durasi video 10-20 detik saja3. VIdeo menarik, tidak membosankan di 3 detik pertama",,,,,,,,,,,,,,,,,,,,
350,Bikin 1 Video Promosi,Video Production,"Rp 100,001 - 500,000",7,"Dicari content creator untuk membuat 1 video promosi di Tiktok dan IG.Video akan digunakan untuk mempromosikan situs properti1.comDurasi video sekitar 15-30 detikIsi video menarik, tidak membosankan di 5 detik pertama.",,,,,,,,,,,,,,,,,,,,
351,Jasa Video Editing Menggunakan Capcut atau sejenisnya,Video Editing,"Rp 500,000 - 700,000",30,"Hi saya membutuhkan jasa video editing untuk keperluan sosial media. Software yang dipakai simple2 aja yang gratis seperti capcut sudah cukup.  Saya butuh anda yang sudah TERBIASA edit video menggunakan CAPCUT ya, jadi prosesnya bisa lebih cepat. Detail Jobdesk seperti berikut :Ada video dari kami, anda edit sesuai yang kami mintaAda beberapa video yang tersedia di online, anda download semua dan mix n match hingga jadi 1 video yang rapiTambah2 subtitle dan text to speech di videoKira-kira pekerjaannya Buat video dari beberapa video terpisah dijadikan 1, lalu dibuat subtitle dan text to speech nya (kalau anda bisa isi suara juga boleh), tambah lagu, dll yang mendukungBisa buat subtitle bahasa indonesia dan bahasa inggris Kerja FULL DARI RUMAH sajaWaktu kerja bebas yang penting apa yang diminta bisa dikerjakan hingga selesai dan sesuai deadlineKalau berminat bisa cantumkan juga no wa nyaThx",,,,,,,,,,,,,,,,,,,,
352,Butuh Video Editor Yang Berpengalaman Untuk Edit Video YouTube,Video Editing,"Rp 2,500,000 - 5,000,000",7,"Halo, kami membutuhkan video editor yang berpengalaman, serius dan skill editing yang bagus untuk mengedit konten video untuk YouTube.Ketentuan Job:Butuh 1 video dengan durasi maks. 30 menit.Worker diwajibkan mengerti bahasa Inggris karena seluruh konten akan menggunakan bahasa Inggris.Wajib mengikuti editing guideline dari kami.Bisa menganimasikan ilustrasi yang disediakan.Worker yang menggunakan software Adobe After Effects lebih diunggulkan.Point lain menyusul dan akan dijelaskan lebih lanjut jika terpilih.Setelah menerima pengerjaan, wajib dikerjakan dengan serius dan bertanggung jawab untuk menyelesaikan video dengan baik.Bersedia merevisi jika video belum sesuai keinginan kami.Memberikan hasil video tepat waktu sesuai deadline yang diberikan.Worker bersedia di arbitrase jika tidak mengikuti ketentuan dari kami.Jika hasilnya bagus, job ini akan berpotensi long-term.Ketentuan BID:Wajib cantumkan video portofolio yang sudah pernah dibuat sebelumnyasebagai bahan pertimbangan.Silahkan berikan penawaran harga untuk project ini.Terima kasih.",,,,,,,,,,,,,,,,,,,,
353,Dicari Photographer,Photography,"Rp 6,000,000 - 6,000,000",7,"Job Desc: Ambil gambar produkSyarat:Hasil foto memiliki kesan seperti di internet, yang pertama kali dapat mendeteksi tren video pendek di platform.Memiliki banyak pengalaman dalam merekam barang video pendek.Memiliki keterampilan profesional tertentu dan terbiasa menggunakan berbagai alat foto dan video.Memiliki pengalaman pemotretan dalam bidang kecantikan, perhiasan dan pakaian lebih disukai.Jenis Pekerjaan: Full TimeJika berminat dan tertarik, pelamar harus memberikan CV dan hasil karya foto dan video.Untuk detail lainnya, bisa komunikasikan di Thread.Terima kasih!",,,,,,,,,,,,,,,,,,,,
354,Tiktok Content Creator untuk Brand Tas Cwe,Social Media Marketing (SMM),"Rp 500,000 - 1,500,000",7,Dicari Konten Creator untuk brand tas cwe  syarat sudah sering buat konten & fyp bisa di buktikan dengan hasil videonay atau profile tiktokDurasi Video - 10-20s ( tergantung konten yang lagi viral)Jumlah video 20-30 wajib sertakan WA,,,,,,,,,,,,,,,,,,,,
355,Develop video,Video Editing,"Rp 250,000 - 500,000",7,"Dicari content creator untuk membuat 1 video promosi untuk website saya. Video akan digunakan untuk mempromosikan situswebsite saya  Durasi video sekitar 15-30 detik Isi video menarik, dan tidak membosankan biaya jasa boleh request lebih  dari yang ditayangkan, namun harus ada model berpenampilan cantik dan menarik untuk  website saya ataupun iklan saya di youtubetinggalkan project yg pernah di buat beserta nomer wa anda. terima kasihAdmin Note:Dilarang mencantumkan ataupun meminta kontak pribadi pada Deskripsi Project ataupun pada link yang Anda cantumkan. Semua komunikasi harus dilakukan melalui fasilitas yang sudah disediakan projects.co.id. Saat ini fasilitas komunikasi diprojects.co.id sudah sangat memadai, silahkan gunakan fasilitas yang ada.",,,,,,,,,,,,,,,,,,,,
356,Bikin Video Rells Instagram dan tiktok,Video Editing,"Rp 50,000 - 50,000li",1,"Dibutuhkan video editor / content creator untuk bikin video reels instagram dan tiktok,durasi pendek 10-15 detik saja,konsep travel dan menarik ,video footage dari saya . hanya 1 videoJika cocok, akan rutin bulanansyarat : komunikatif dan bs warevisi bebassoruce video mesti diberikan",,,,,,,,,,,,,,,,,,,,
357,Lapor SPT Indonesia,Accounting,"Rp 500,000 - 1,000,000",7,"Dibutuhkan jasa pelaporan spt dan pendapat finalisasi laporan keuangan.laporan keuangan terlah jadi, dibutuhkan jasa pendapat untuk finalisasi laporan keuangan dan melakukan laporan SPT",,,,,,,,,,,,,,,,,,,,
358,Analisa Keuangan Bisnis,Accounting,"Rp 500,000 - 1,000,000",7,"saya mencari orang yang paham membuat analisa keuangan dan  laporan keuangan..\1.berpengalaman2,lokasi jabodetabek",,,,,,,,,,,,,,,,,,,,
359,Pembuatan Laporan Keuangan dan Pelaporan SPT 2022,Accounting,"Rp 2,500,000 - 5,000,000",30,"Kami membutuhkan freelance accountant untuk membantu merapihkan data keuangan, pembuatan laporan keuangan dan pelaporan SPT 2022.Kami mengutamakan kandidat dengan pengalaman sbb:Pengalaman di akuntansi dan perpajakan minimal 3 tahunPengalaman menggunakan sistem jurnal.id Pengalaman di industri jasa boga / pabrik makananSilahkan kirimkan CV lengkap dan ekspektasi fee melalui bid atau WA ke: 0821-2588-1044",,,,,,,,,,,,,,,,,,,,
360,Butuh bantuan dalam menggunakan myob / accurate / zahir,Accounting,"Rp 500,000 - 1,000,000",30,"Selamat pagiSaya butuh bantuan dalam menggunakan accurate / myob / zahirAdapun sebelumnya saya sudah terbiasa mengerjakan di excel, namun perusahaan (pabrik rumah tangga) mau saya untuk menggunakan accurate  / myob / zahirSaya ada list COA, dan dokumen 1 bulan transaksi (hanya 20 dokumen saja) periode sebelumnya yang bisa digunakan untuk mempelajari accurate / myob / zahirbagaimana di accurate /myob / zahir menggunakan COA yang sama dengan COA yang ada di excel bagaimana entri dokumen (dan debet credit) di accurate / myob / zahir menggunakan dokumen (dan debet credit) yang sama dengan dokumen (dan debet credit) yang ada di excel bagaimana menghitung costing (saldo akhir raw material, raw material consumption, saldo akhir finished goods, finished goods difference, sales) di accurate / myob / zahir yang sama dengan menghitung costing yang ada di excel bagaimana menyusun laporan keuangan (rugi laba, neraca) di accurate / myob / zahir yang sama dengan menyusun laporan keuangan (rugi laba, neraca) di excelbagaimana membuat tutup buku (closing) di accurate / myob / zahir yang sama dengan membuat tutup buku (closing) di excelProjek selesai begitu sudah tau dengan jelas setiap poin tersebut.",,,,,,,,,,,,,,,,,,,,
361,Butuh bantuan dalam pembuatan sistem virtual reality desain konstruksi,3D Rendering,"Rp 5,000,000 - 10,000,00",30,"Selamat siangSaya butuh bantuan dalam pembuatan sistem virtual reality desain konstruksiMungkin gambarannya seperti video berikut https://youtube.com/watch?v=VxQ6gFQlDxUJadi desainner membikinkan desain, kemudian customer bisa melihat desainnya melalui kacamata VR",,,,,,,,,,,,,,,,,,,,
362,Video Animasi 1-2 Menit,3D Animation,"Rp 1,000,000 - 2,000,000",5,"Butuh video animasi untuk explanation video usaha catering dengan durasi 1-2 menit, semua teks sama flownya sudah ada tinggal diikutin aja. Silahkan kirim portfolio video animasi yang pernah dikerjakan. Jika belum berpengalaman, mohon jangan bid ya. Terima kasih.",,,,,,,,,,,,,,,,,,,,
363,3D Interior Design Apps,3D Modelling,"Rp 15,000,000 - 20,000,0",90,"Dear Freelancer,Kami ingin mencari freelancer yang pernah mengerjakan Web Apps untuk 3D Interior Design, oleh karenanya dalam pemilihan project ini kami harapkan:Portfolio terkaitSource Code Apps (Bagi yang ingin menjual)Demikian yang dapat kami sampaikan,Atas perhatiannya kami ucapkan terima kasihRegards,Owner",,,,,,,,,,,,,,,,,,,,
364,Membuat Komik Berdasarkan Informasi Buku,Graphic Design,"Rp 10,000,000 - 15,000,0",20,"Saya membutuhkan studio komik dengan persyaratan sebagai berikut :Berdomisili disekitar JABODETABEK atau memiliki representative di sekitar jabodetabek untuk studio komik diluar JABODETABEKMemiliki pengalaman lebih dari 2-3 tahun dalam membuat project komikMampu menyelesaikan projek komik dalam waktu 2-3 bulanKriteria Komik sebagai berikut :Konsep seperti The Manga Guide yang dimana menjelaskan konsep yang kompleks lewat visualisasi dan cerita.Data dalam komik berdasarkan dari buku yang akan saya berikan apabila sudah deal.Komik BerwarnaKomik memiliki 3 karakter utama.Komik dibuat dalam bahasa IndonesiaHasil akhir dalam bentuk file PDF high resolutionApabila anda tertarik, silahkan bid dengan menyertakan portofolio studio komik anda. Bid tanpa menyertakan portofolio tidak akan saya terima. Terima kasih.",,,,,,,,,,,,,,,,,,,,
365,Pembuatan Video Grafis Interaktif 3D,3D Modelling,"Rp 2,000,000 - 4,000,000",30,Pembuatan Grafis Interaktif 3D dari Blender Model dengan Unity untuk perumahan dilengkapi aset yang ada.Share Pengalaman dan Portofolio,,,,,,,,,,,,,,,,,,,,
366,Guru Asistensi untuk belajar Unity 2D dasar (wanita),Unity,"Rp 500,000 - 750,000",7,"Dear WorkersSaya membutuhkan seorang Guru wanita untuk asistensi di materi yang saya pelajari dari youtube, untuk dasar dasar pengenalan Unity 2D.materi saya ambil dari Youtube / Udemy, dan cukup sering ada hal yang tidaksaya mengerti, dan tidak sesuai seperti yang ditampilkan dari video tutorial.asistensi mungkin akan di lakukan via zoom selama 1 jam. seminggu 2x budget yang saya lampirkan adalah budget per bulan bulan.mohon cantumkan no w.aTia",,,,,,,,,,,,,,,,,,,,
367,Desain 3D arsitektur menggunakan AI,3D Rendering,"Rp 700,000 - 1,000,000",7,Menggambarkan city dan mountain view yang akan saya beri foto n video aslinya. Kenapa AI biar yang kilat jadinya.,,,,,,,,,,,,,,,,,,,,
368,Retopology hasil 3D scan,3D Modelling,"Rp 150,000 - 250,000",1,melakukan retopo middle poly untuk sebuah produk dari hasil 3d Scan seperti gambar contoh dibawah. coba 1 produk dahulu. hasil retopo verts kisaran 8k - 15k,,,,,,,,,,,,,,,,,,,,
369,Membuat 3D model sofa dari gambar 2D,3D Modelling,"Rp 150,000 - 250,000",3,Kami memerlukan desainer yang dapat membuat 3D model menggunakan SketchUp dengan referensi dari gambar 2D sofa dibawah ini.Ukuran sofa ada di gambar. Gambar dibawah adalah satu-satunya referensi kerja.,,,,,,,,,,,,,,,,,,,,
370,Desain rumah dan fasad,3D Modelling,"Rp 1,000,000 - 2,000,000",30,"Nyari yang biasa main di sketchup untuk desain rumah, fasad serta interior....untuk jangka panjang. Komitment dan sesuai dengan time line",,,,,,,,,,,,,,,,,,,,
371,Membuat Gambar Rumah Kos lengkap dengan RAB,3D Modelling,"Rp 2,500,000 - 3,500,000",7,"Saya butuh gambar kerja, lengkap dengan RAB dimana untuk membangun rumah kos dengan luasan 250 meter persegi. Saya ingin bangun 3 lantai dengan konsep minimalis dan jumlah kamar lebih dari 20 kamar disertai dengan 3 tempat parkir.akan lebih baik jika diberi gambar 3d nyaJika bisa silahkan bid dan sertakan portofolio",,,,,,,,,,,,,,,,,,,,
372,ANIMASI 3D BLENDER 30 DETIK SEDERHANA,3D Rendering,"Rp 350,000 - 550,000",3,"Dibutuhkan animation Blender ATAU 3Dx maXAnimasi kan produk seperti di video link berikut :https://www.youtube.com/watch?v=WHbcdzeDVZ4untuk 3D CAD model sudah ada, tinggal dianimasikan saja, seperti video diatas, durasi animasi 30-40 detik, animasi sederhana.Butuh selesai kurang lebih 3 hari harus sudah jadi.untuk view animasi harap ditampilkan pandangan samping dengan view seperti gambar dibawahSilakan DM jika ada pertanyaanTerima kasih",,,,,,,,,,,,,,,,,,,,
